sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8229,Opel,Vectra    ,DE,Yekaterinburg,gasoline,manual,FWD,360000,140,1.8,16,550000
8230,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,121000,181,2.5,9,2190000
8231,Renault,Sandero Stepway   ,FR,Yekaterinburg,gasoline,automatic,FWD,34131,103,1.6,10,1025000
8232,Lada,2110,RUS,Voronezh,gasoline,manual,FWD,200000,80,1.6,19,220000
8233,Mercedes-Benz,C-Class    ,DE,Yekaterinburg,gasoline,automatic,RWD,144000,156,1.6,10,2245000
8234,Geely,Atlas Pro   ,CN,Yekaterinburg,hybrid,robot,4WD,48491,177,1.5,3,2390000
8235,Mitsubishi,Outlander    ,JP,Yekaterinburg,gasoline,CVT,FWD,1000,146,2,2,2900999
8236,Datsun,on-DO    ,JP,Yekaterinburg,gasoline,manual,FWD,159656,87,1.6,9,485000
8237,Mazda,CX-5    ,JP,Yekaterinburg,gasoline,automatic,FWD,175000,150,2,10,1770000
8238,Chevrolet,Cruze    ,USA,Yekaterinburg,gasoline,manual,FWD,111200,109,1.6,12,757000
8239,Skoda,Yeti    ,CZ,Yekaterinburg,gasoline,robot,FWD,148000,105,1.2,11,850000
8240,Nissan,Qashqai    ,JP,Yekaterinburg,gasoline,CVT,FWD,118000,117,1.6,11,1270000
